symbol,name,price
SSTZ.VI,"Constellation Brands, Inc.",126.35
GGIS.VI,"General Mills, Inc.",41.01
DDLTR.VI,"Dollar Tree, Inc.",106.66
WWIOA.VI,Wipro Limited,2.00
RRI.VI,Pernod Ricard SA,85.02
DDSY2.VI,Dassault Systèmes SE,16.25
VVRSK.VI,"Verisk Analytics, Inc.",152.90
MMTX.VI,MTU Aero Engines AG,392.40
AAVBC.VI,"AvalonBay Communities, Inc.",148.88
SSRG.VI,Snam S.p.A.,6.26
HHBAN.VI,Helvetia Baloise Holding AG,211.00
FFTI.VI,TechnipFMC plc,51.15
TTEF.VI,"Telefónica, S.A.",3.68
VVWSB.VI,Vestas Wind Systems A/S,20.95
FFNIS.VI,"Fidelity National Information Services, Inc.",39.63
AAMAD.VI,"Amadeus IT Group, S.A.",48.17
CCHD.VI,"Church & Dwight Co., Inc.",85.42
FFSLR.VI,"First Solar, Inc.",190.46
KKEY.VI,KeyCorp,18.37
CCLNX.VI,"Cellnex Telecom, S.A.",29.90
TTRN.VI,Terna S.p.A.,9.97
SSGSN.VI,SGS SA,103.35
VVER.VI,VERBUND AG,57.15
HHEIO.VI,Heineken Holding N.V.,71.20
FFZM.VI,ZTE Corporation,2.95
DDOW.VI,Dow Inc.,27.40
HHLAG.VI,Hapag-Lloyd Aktiengesellschaft,111.70
EEFX.VI,Equifax Inc.,163.00
GGRU.VI,Geely Automobile Holdings Limited,1.81
EEN.VI,Bouygues SA,50.12
TTSN.VI,"Tyson Foods, Inc.",54.12
RREP.VI,"Repsol, S.A.",17.15
88TRA.VI,Traton SE,36.06
BBAMI.VI,Banco BPM S.p.A.,11.91
PPUB.VI,Publicis Groupe S.A.,72.16
IIFF.VI,International Flavors & Fragrances Inc.,70.08
AAD2.VI,Air China Limited,0.77
NNN.VI,NN Group N.V.,67.90
OOMV.VI,OMV Aktiengesellschaft,54.80
LLULU.VI,lululemon athletica inc.,149.66
KKPN.VI,Koninklijke KPN N.V.,4.65
GGRV.VI,Great Wall Motor Company Limited,1.41
JJBHT.VI,"J.B. Hunt Transport Services, Inc.",186.70
CCARL.VI,Carlsberg A/S,133.40
TTROW.VI,"T. Rowe Price Group, Inc.",79.95
DDDPN.VI,"DuPont de Nemours, Inc.",42.29
CCAPG.VI,Capgemini SE,102.40
KKBX.VI,Knorr-Bremse AG,105.30
NNIB.VI,Nidec Corporation,12.99
SSTMN.VI,Straumann Holding AG,104.95
AALBE.VI,Albemarle Corporation,140.06
DDIM.VI,Sartorius Stedim Biotech S.A.,170.35
VVACN.VI,VAT Group AG,559.40
EEMSN.VI,EMS-CHEMIE HOLDING AG,693.50
MMKC.VI,"McCormick & Company, Incorporated",60.72
GGPN.VI,Global Payments Inc.,57.76
ZZBH.VI,"Zimmer Biomet Holdings, Inc.",81.24
SSAB.VI,"Banco de Sabadell, S.A.",3.17
TTITR.VI,Telecom Italia S.p.A.,0.74
DDSFI.VI,DSM-Firmenich AG,61.80
AAMUN.VI,Amundi S.A.,76.25
CCHKP.VI,Check Point Software Technologies Ltd.,144.75
SSRT3.VI,Sartorius Aktiengesellschaft,224.90
BBLL.VI,Ball Corporation,56.88
JJDEP.VI,JDE Peet's N.V.,31.66
SSMC2.VI,SUPER MICRO COMPUTER INC,25.53
GGMAB.VI,Genmab A/S,247.90
IILMN.VI,"Illumina, Inc.",98.75
HHPQ.VI,HP Inc.,16.38
BBAER.VI,Julius Bär Gruppe AG,70.50
UUN02.VI,Uniper SE,35.25
CCON.VI,Continental Aktiengesellschaft,73.32
TTWLO.VI,Twilio Inc.,94.91
CCOLO.VI,Coloplast A/S,64.48
MMB.VI,Mediobanca Banca di Credito Finanziario S.p.A.,17.96
UUL.VI,Unibail-Rodamco-Westfield SE,100.60
EELIA.VI,Elia Group SA/NV,131.70
MMRNA.VI,"Moderna, Inc.",35.67
HHOLX.VI,"Hologic, Inc.",64.00
DDECK.VI,Deckers Outdoor Corporation,97.84
WWKL.VI,Wolters Kluwer N.V.,62.44
BBESI.VI,BE Semiconductor Industries N.V.,175.35
CCVC.VI,CVC Capital Partners plc,12.72
UUNI.VI,Unipol Assicurazioni S.p.A.,19.34
MMONC.VI,Moncler S.p.A.,50.78
SSATG.VI,Sartorius Aktiengesellschaft,179.40
AAKAM.VI,"Akamai Technologies, Inc.",94.48
RRBI.VI,Raiffeisen Bank International AG,41.20
TTIT.VI,Telecom Italia S.p.A.,0.63
AALSO.VI,Alstom SA,28.81
CCNHI.VI,CNH Industrial N.V.,10.62
BBOL.VI,Bolloré SE,4.76
FFGR.VI,Eiffage SA,138.00
AALCA.VI,Alcoa Corporation,51.08
HHLMI.VI,Hecla Mining Company,19.12
WWMG.VI,Warner Music Group Corp.,24.81
BBMED.VI,Banca Mediolanum S.p.A.,17.49
EENX.VI,Euronext N.V.,125.00
IIPN.VI,Ipsen S.A.,152.50
TTRYG.VI,Tryg A/S,20.58
BBKT.VI,"Bankinter, S.A.",13.56
HHAS.VI,"Hasbro, Inc.",86.66
SSPSN.VI,Swiss Prime Site AG,150.90
FFME.VI,Fresenius Medical Care AG,41.02
BBVI.VI,Bureau Veritas SA,27.18
CCDE.VI,"Coeur Mining, Inc.",18.75
SSWK.VI,"Stanley Black & Decker, Inc.",77.10
AADPA.VI,Aeroports de Paris SA,120.40
FFBK.VI,FinecoBank Banca Fineco S.p.A.,19.32
BBEAN.VI,BELIMO Holding AG,964.50
MMAP.VI,"Mapfre, S.A.",3.86
AAGS.VI,ageas SA/NV,62.20
AAC.VI,Accor SA,49.54
DDWS.VI,DWS Group GmbH & Co. KGaA,57.95
11COV.VI,Covestro AG,60.88
EESF.VI,Eurofins Scientific SE,64.82
RROKU.VI,"Roku, Inc.",75.43
AALGN.VI,"Align Technology, Inc.",157.50
UUHR.VI,The Swatch Group AG,215.40
HHRL.VI,Hormel Foods Corporation,20.11
SSTR.VI,Strabag SE,95.50
IIG.VI,Italgas S.p.A.,10.84
LLHA.VI,Deutsche Lufthansa AG,9.16
PPAH3.VI,Porsche Automobil Holding SE,35.81
CCARR.VI,Carrefour SA,15.48
BBIM.VI,bioMérieux S.A.,92.60
DDPZ.VI,"Domino's Pizza, Inc.",317.00
TTTD.VI,"The Trade Desk, Inc.",21.80
SSHA1.VI,SCHAEFFLER AG,10.72
SSY1.VI,Symrise AG,75.00
AANA.VI,"Acciona, S.A.",191.10
GG1A.VI,GEA Group Aktiengesellschaft,64.55
AAKZO.VI,Akzo Nobel N.V.,60.64
BBG.VI,BAWAG Group AG,132.80
GGBLB.VI,Groupe Bruxelles Lambert SA,82.90
AAESC.VI,The AES Corporation,13.90
AAEGN.VI,Aegon Ltd.,6.59
BBMRN.VI,BioMarin Pharmaceutical Inc.,50.64
GGET.VI,Getlink SE,17.97
RREC.VI,Recordati Industria Chimica e Farmaceutica S.p.A.,47.28
RRNO.VI,Renault SA,32.34
HHLE.VI,HELLA GmbH & Co. KGaA,83.90
HHAG.VI,Hensoldt AG,80.50
IIDR.VI,"Indra Sistemas, S.A.",52.25
TTKR.VI,thyssenkrupp AG,10.78
SSOF.VI,Sofina Société Anonyme,243.00
GGME.VI,GameStop Corp.,19.78
DDWNI.VI,Deutsche Wohnen SE,22.35
QQGE4.VI,QIAGEN NV,42.99
AACKB.VI,Ackermans & Van Haaren NV,270.00
BBAX.VI,Baxter International Inc.,16.72
AAGCO.VI,AGCO Corporation,117.40
FFHZN.VI,Flughafen Zürich AG,282.80
RREE.VI,"Redeia Corporación, S.A.",15.96
BBZU.VI,Buzzi S.p.A.,47.46
BBKW.VI,BKW AG,161.80
KKGX.VI,KION GROUP AG,65.00
NNISA.VI,"Nissan Motor Co., Ltd.",2.40
RRAA.VI,RATIONAL Aktiengesellschaft,738.50
BBARN.VI,Barry Callebaut AG,"1,520.00"
NNCLH.VI,Norwegian Cruise Line Holdings Ltd.,18.25
BBNR.VI,Brenntag SE,57.22
VVIG.VI,Vienna Insurance Group AG,64.20
SSHM.VI,Shimano Inc.,92.80
PPSPN.VI,PSP Swiss Property AG,174.90
NNDX1.VI,Nordex SE,33.76
HHSIC.VI,"Henry Schein, Inc.",65.88
SSWKS.VI,"Skyworks Solutions, Inc.",52.43
