symbol,name,price
WW1AB34.SA,Westinghouse Air Brake Technologies Corporation,640.31
AAIGB34.SA,"American International Group, Inc.",405.08
OO1DF34.SA,"Old Dominion Freight Line, Inc.",50.01
NN1UE34.SA,Nucor Corporation,78.74
HHOND34.SA,"Honda Motor Co., Ltd.",166.03
AA1LN34.SA,"Alnylam Pharmaceuticals, Inc.",81.00
PP1EG34.SA,Public Service Enterprise Group Incorporated,421.16
VV1TA34.SA,"Ventas, Inc.",223.02
KK1BF34.SA,KB Financial Group Inc.,146.85
JJDCO34.SA,"JD.com, Inc.",23.71
II1XC34.SA,ORIX Corporation,23.64
BBBDC4.SA,Banco Bradesco S.A.,20.97
TT1EV34.SA,Teva Pharmaceutical Industries Limited,88.92
BBBDC3.SA,Banco Bradesco S.A.,18.14
EELCI34.SA,The Estée Lauder Companies Inc.,23.74
NNOKI34.SA,Nokia Oyj,36.68
II1CE34.SA,"Intercontinental Exchange, Inc.",398.64
MM1SC34.SA,MSCI Inc.,62.40
WW1DA34.SA,"Workday, Inc.",47.59
BBPAC11.SA,Banco BTG Pactual S.A.,59.59
LL1VS34.SA,Las Vegas Sands Corp.,59.51
CCRIP34.SA,Trip.com Group Limited,303.49
PPYPL34.SA,"PayPal Holdings, Inc.",10.44
EEBAY34.SA,eBay Inc.,211.90
NN1RG34.SA,"NRG Energy, Inc.",895.92
EE1RI34.SA,Telefonaktiebolaget LM Ericsson (publ),28.82
RR1MD34.SA,ResMed Inc.,329.59
CC1PR34.SA,"Copart, Inc.",98.79
KKMBB34.SA,Kimberly-Clark Corporation,575.60
WW1EC34.SA,"WEC Energy Group, Inc.",292.59
VV1OD34.SA,Vodafone Group Public Limited Company,40.60
MM1TB34.SA,M&T Bank Corporation,307.87
LL1YV34.SA,"Live Nation Entertainment, Inc.",162.60
AA1GI34.SA,"Agilent Technologies, Inc.",331.40
TT1TW34.SA,"Take-Two Interactive Software, Inc.",252.12
PP1DT34.SA,"Prudential Financial, Inc.",266.90
UU1AL34.SA,"United Airlines Holdings, Inc.",285.38
OO1TI34.SA,Otis Worldwide Corporation,46.71
RR1OP34.SA,"Roper Technologies, Inc.",169.00
II1RM34.SA,Iron Mountain Incorporated,572.24
PP1AY34.SA,"Paychex, Inc.",250.00
AA1DM34.SA,Archer-Daniels-Midland Company,359.00
CC1HT34.SA,"Chunghwa Telecom Co., Ltd.",55.08
DDGCO34.SA,Dollar General Corporation,32.13
RR1JF34.SA,"Raymond James Financial, Inc.",419.72
EE1XR34.SA,Extra Space Storage Inc.,188.52
FF1IS34.SA,"Fiserv, Inc.",154.96
IITSA4.SA,Itaúsa S.A.,14.60
IITSA3.SA,Itaúsa S.A.,14.58
SSANB11.SA,Banco Santander (Brasil) S.A.,34.50
TTPRY34.SA,"Tapestry, Inc.",801.02
XX1YZ34.SA,"Block, Inc.",10.54
SSTMN34.SA,STMicroelectronics N.V.,180.62
CCHCM34.SA,"Charter Communications, Inc.",20.96
LL1EN34.SA,Lennar Corporation,635.00
MM1DB34.SA,"MongoDB, Inc.",96.31
PPHGN34.SA,Koninklijke Philips N.V.,164.34
UU1LT34.SA,"Ulta Beauty, Inc.",174.78
CC1BO34.SA,"Cboe Global Markets, Inc.",727.00
EEXGR34.SA,"Expedia Group, Inc.",630.02
PP1PG34.SA,"PPG Industries, Inc.",340.17
KKHCB34.SA,The Kraft Heinz Company,32.51
HHALI34.SA,Halliburton Company,181.72
BBIIB34.SA,Biogen Inc.,172.26
DD1VN34.SA,Devon Energy Corporation,235.06
RR1OL34.SA,"Rollins, Inc.",313.79
TT1SC34.SA,Tractor Supply Company,15.74
PP1HM34.SA,"PulteGroup, Inc.",725.48
CC1FG34.SA,"Citizens Financial Group, Inc.",348.25
VV2EE34.SA,Veeva Systems Inc.,29.52
SS1OU34.SA,Southwest Airlines Co.,278.40
BBBAS3.SA,Banco do Brasil S.A.,25.43
KKLBN11.SA,Klabin S.A.,20.39
ZZ1OM34.SA,"Zoom Communications, Inc.",19.25
NNMRH34.SA,"Nomura Holdings, Inc.",48.00
BB1NT34.SA,BioNTech SE,34.41
AAXIA6.SA,AXIA Energia SA,62.02
WW1RB34.SA,W. R. Berkley Corporation,36.60
EE1IX34.SA,Edison International,176.94
TT1EC34.SA,TechnipFMC plc,322.87
GG1MI34.SA,"General Mills, Inc.",254.00
SSTZB34.SA,"Constellation Brands, Inc.",194.89
AA1WK34.SA,"American Water Works Company, Inc.",171.27
EE1QR34.SA,Equity Residential,171.00
EE1CO34.SA,Ecopetrol S.A.,30.93
II1PC34.SA,International Paper Company,250.00
SSANB4.SA,Banco Santander (Brasil) S.A.,17.36
AAXIA3.SA,AXIA Energia SA,58.43
VVIVT3.SA,Telefônica Brasil S.A.,40.99
DD1EX34.SA,"DexCom, Inc.",6.78
AA1VB34.SA,"AvalonBay Communities, Inc.",230.00
SSANB3.SA,Banco Santander (Brasil) S.A.,16.93
FFSLR34.SA,"First Solar, Inc.",591.93
FF1NI34.SA,"Fidelity National Information Services, Inc.",15.30
SS1TE34.SA,STERIS plc,63.68
DD1OW34.SA,Dow Inc.,42.90
CCHDC34.SA,"Church & Dwight Co., Inc.",511.11
TTSNF34.SA,"Tyson Foods, Inc.",335.34
TT1AM34.SA,Atlassian Corporation,22.37
HH1UM34.SA,Humana Inc.,21.28
CC1MS34.SA,CMS Energy Corporation,191.88
II1HG34.SA,InterContinental Hotels Group PLC,127.12
VVRSN34.SA,"VeriSign, Inc.",310.24
AA1CR34.SA,Amcor plc,245.75
RR1LC34.SA,Ralph Lauren Corporation,925.58
NN1IS34.SA,NiSource Inc.,233.68
CC1HR34.SA,"C.H. Robinson Worldwide, Inc.",46.45
SSBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,152.50
NN1TA34.SA,"NetApp, Inc.",538.56
II1NC34.SA,Incyte Corporation,267.36
DDDNB34.SA,"DuPont de Nemours, Inc.",258.57
BB1RF34.SA,"Broadridge Financial Solutions, Inc.",223.23
LL1UL34.SA,lululemon athletica inc.,221.88
PP1KX34.SA,POSCO Holdings Inc.,85.28
ZZ1TO34.SA,ZTO Express (Cayman) Inc.,31.84
AA1LB34.SA,Albemarle Corporation,36.27
GG1PI34.SA,Global Payments Inc.,89.67
CC1GP34.SA,"CoStar Group, Inc.",2.36
WW1YC34.SA,Weyerhaeuser Company,138.74
MM1KC34.SA,"McCormick & Company, Incorporated",92.85
SS1BA34.SA,SBA Communications Corporation,185.00
LL1YB34.SA,LyondellBasell Industries N.V.,152.20
CC1HK34.SA,Check Point Software Technologies Ltd.,426.50
RRDOR3.SA,Rede D'Or São Luiz S.A.,42.66
II1LM34.SA,"Illumina, Inc.",122.35
AAPTV34.SA,Aptiv PLC,219.00
HHPQB34.SA,HP Inc.,100.70
JJBSS32.SA,JBS N.V.,83.22
SS1SN34.SA,"SS&C Technologies Holdings, Inc.",62.84
MM1RN34.SA,"Moderna, Inc.",11.52
HHSRE11.SA,Hsi Renda Imobiliario - Fundo De Investimento Imobiliario,102.00
TT1WL34.SA,Twilio Inc.,23.75
SS2UI34.SA,"Sun Communities, Inc.",34.14
TTSNC11.SA,Transinc Fundo,80.80
BB3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",17.46
BB1SA34.SA,Banco Santander-Chile,92.80
HH1TH34.SA,H World Group Limited,69.60
CC1OO34.SA,"The Cooper Companies, Inc.",43.70
CCLXC34.SA,The Clorox Company,162.55
AA1KA34.SA,"Akamai Technologies, Inc.",48.85
II1EX34.SA,IDEX Corporation,55.25
HH1II34.SA,"Huntington Ingalls Industries, Inc.",27.38
JJ1EG34.SA,Jacobs Solutions Inc.,347.60
OO1KT34.SA,"Okta, Inc.",22.99
WW1MG34.SA,Warner Music Group Corp.,39.00
YY2PF34.SA,YPF Sociedad Anónima,194.40
KK1IM34.SA,Kimco Realty Corporation,114.40
SS1WK34.SA,"Stanley Black & Decker, Inc.",119.84
UU1HS34.SA,"Universal Health Services, Inc.",292.32
ZZ1BR34.SA,Zebra Technologies Corporation,48.01
BB1FC34.SA,Brown-Forman Corporation,156.78
SSUZB3.SA,Suzano S.A.,58.34
AA1LG34.SA,"Align Technology, Inc.",248.50
HH1RL34.SA,Hormel Foods Corporation,127.66
HH1AS34.SA,"Hasbro, Inc.",250.00
RR1KU34.SA,"Roku, Inc.",23.36
NN1BI34.SA,"Neurocrine Biosciences, Inc.",33.84
NN1WS34.SA,News Corporation,116.75
EEMBJ3.SA,Embraer S.A.,92.84
DD2PZ34.SA,"Domino's Pizza, Inc.",39.69
HH2UB34.SA,"HubSpot, Inc.",25.41
TT2TD34.SA,"The Trade Desk, Inc.",1.36
BBBSE3.SA,BB Seguridade Participações S.A.,33.82
TTIMS3.SA,TIM S.A.,27.29
SS1BS34.SA,Sibanye Stillwater Limited,45.12
BB1IL34.SA,Bilibili Inc.,31.83
GG2DD34.SA,GoDaddy Inc.,47.60
RR1DY34.SA,Dr. Reddy's Laboratories Limited,12.48
PP1EA34.SA,"Healthpeak Properties, Inc.",88.48
BB1MR34.SA,BioMarin Pharmaceutical Inc.,156.63
SS1JM34.SA,The J. M. Smucker Company,284.53
AA1ES34.SA,The AES Corporation,85.09
WW2YF34.SA,Wayfair Inc.,13.19
CC2PT34.SA,Camden Property Trust,38.75
AA1EG34.SA,Aegon Ltd.,39.24
PPSKY34.SA,PARA SKYDNC DRN,53.34
KK1TC34.SA,KT Corporation,121.72
CCPFE3.SA,CPFL Energia S.A.,50.74
GG1AR34.SA,"Gartner, Inc.",205.20
SS1KM34.SA,"SK Telecom Co., Ltd.",37.40
ZZ2LL34.SA,"Zillow Group, Inc.",19.74
DD2KN34.SA,DraftKings Inc.,19.11
RRENT3.SA,Localiza Rent a Car S.A.,51.44
XXPBR31.SA,XP Inc.,104.39
CCXSE3.SA,Caixa Seguridade Participações S.A.,18.03
BB1AX34.SA,Baxter International Inc.,51.85
EE1DU34.SA,New Oriental Education & Technology Group Inc.,21.14
GGPSI34.SA,"The Gap, Inc.",141.20
PP2IN34.SA,"Pinterest, Inc.",13.12
DDVAI34.SA,DaVita Inc.,783.00
TT1CH34.SA,Bio-Techne Corporation,11.08
NN1CL34.SA,Norwegian Cruise Line Holdings Ltd.,114.08
AA1TH34.SA,Autohome Inc.,10.92
BBOXP34.SA,"BXP, Inc.",32.19
EEQTL3.SA,Equatorial S.A.,41.00
AA1PA34.SA,APA Corporation,139.23
MMOSC34.SA,The Mosaic Company,25.86
CC1AG34.SA,"Conagra Brands, Inc.",102.61
SS1SL34.SA,"Skyworks Solutions, Inc.",160.80
GG1DS34.SA,GDS Holdings Limited,24.06
AAALL34.SA,American Airlines Group Inc.,72.32
AA1RE34.SA,"Alexandria Real Estate Equities, Inc.",68.59
DD1OC34.SA,"DocuSign, Inc.",11.75
EE1MN34.SA,Eastman Chemical Company,205.92
VV1IP34.SA,Vipshop Holdings Limited,44.24
CC1PB34.SA,The Campbell's Company,154.20
RRADL3.SA,Raia Drogasil S.A.,25.95
LL1MN34.SA,"Lumen Technologies, Inc.",43.21
MM1HK34.SA,"Mohawk Industries, Inc.",27.41
CCMIG3.SA,Companhia Energética de Minas Gerais - CEMIG,15.25
DD2AR34.SA,Darling Ingredients Inc.,34.08
GGGBR4.SA,Gerdau S.A.,21.65
PPRIO3.SA,Prio S.A.,52.56
NN1OV34.SA,NOV Inc.,99.90
UU2ST34.SA,Unity Software Inc.,4.83
VVFCO34.SA,V.F. Corporation,53.40
LLBRD34.SA,Liberty Broadband Corporation,24.21
CCPLE3.SA,Companhia Paranaense de Energia - COPEL,13.97
EENEV3.SA,Eneva S.A.,21.44
QQ1RV34.SA,"Qorvo, Inc.",215.44
LL1NC34.SA,Lincoln National Corporation,210.00
NNEOE3.SA,Neoenergia S.A.,32.72
VVLYB34.SA,Valley National Bancorp,70.29
EEGIE3.SA,Engie Brasil Energia S.A.,33.70
MM1TC34.SA,"Match Group, Inc.",7.97
RRIGG34.SA,Transocean Ltd.,34.06
DD2OX34.SA,Amdocs Limited,44.02
SS2TA34.SA,"STAG Industrial, Inc.",39.60
VVBBR3.SA,Vibra Energia S.A.,31.73
CCMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,11.76
GGGBR3.SA,Gerdau S.A.,18.51
TT1AL34.SA,TAL Education Group,5.87
NN1IC34.SA,NICE Ltd.,23.06
PP1YC34.SA,"Paycom Software, Inc.",21.52
MM1KT34.SA,MarketAxess Holdings Inc.,18.44
AA1LK34.SA,"Alaska Air Group, Inc.",298.49
CC1NS34.SA,Celanese Corporation,155.40
EE2ST34.SA,Elastic N.V.,25.90
MMOTV3.SA,Motiva Infraestrutura de Mobilidade S.A.,16.37
PPSSA3.SA,Porto Seguro S.A.,51.00
CC2HD34.SA,Churchill Downs Incorporated,23.35
VV1NO34.SA,Vornado Realty Trust,155.85
EENGI3.SA,Energisa S.A.,12.62
PP2AT34.SA,"UiPath, Inc.",7.41
AAURA33.SA,Aura Minerals Inc.,125.09
RRAIL3.SA,Rumo S.A.,16.24
MMACY34.SA,"Macy's, Inc.",112.54
CCMIN3.SA,CSN Mineração S.A.,5.46
EENGI4.SA,Energisa S.A.,9.73
UUGPA3.SA,Ultrapar Participações S.A.,26.98
CCRDA34.SA,Credit Acceptance Corporation,263.25
WW1HR34.SA,Whirlpool Corporation,118.03
MMBRF3.SA,Marfrig Global Foods S.A.,18.80
KKLBN3.SA,Klabin S.A.,4.07
KKLBN4.SA,Klabin S.A.,4.05
BB2HI34.SA,"BILL Holdings, Inc.",1.36
TT1FX34.SA,Teleflex Incorporated,55.52
EE2TS34.SA,"Etsy, Inc.",16.00
II1PG34.SA,IPG Photonics Corporation,286.23
CCSAN3.SA,Cosan S.A.,6.12
BB1BW34.SA,"Bath & Body Works, Inc.",29.02
EENGI11.SA,Energisa S.A.,51.60
IISAE3.SA,ISA Energía Brasil S.A.,34.97
KK2CG34.SA,Kingsoft Cloud Holdings Limited,12.57
CC2ZR34.SA,"Caesars Entertainment, Inc.",10.91
IISAE4.SA,ISA Energía Brasil S.A.,29.60
AA1IV34.SA,Apartment Investment and Management Company,30.60
WW1PP34.SA,WPP plc,19.62
CCSMG3.SA,Companhia de Saneamento de Minas Gerais,55.81
TTOTS3.SA,TOTVS S.A.,38.03
